org_cause,cause_area,name,EIN,Notes
Crustacean Compassion|Animal Welfare,Animal Welfare,Crustacean Compassion,X,England/Wales--can't find budget
Center for Security and Emerging Technology|Longtermism,Longtermism,Center for Security and Emerging Technology,X,Part of Georgetown -- Self-declared $57.5M total grant funding (all-time?)
UC Berkeley|Longtermism,Longtermism,UC Berkeley,X,University
Berryville Institute of Machine Learning|Longtermism,Longtermism,Berryville Institute of Machine Learning,X,
University of Glasgow|Animal Welfare,Animal Welfare,University of Glasgow,X,
Against Malaria Foundation|Global Health,Global Health,Against Malaria Foundation,203069841,
GLOBALG.A.P.|Animal Welfare,Animal Welfare,GLOBALG.A.P.,X,Europe--doesn't seem to be non-profit
Massachusetts Institute of Technology|Longtermism,Longtermism,Massachusetts Institute of Technology,X,University
University of Bern|Animal Welfare,Animal Welfare,University of Bern,X,University
Compassion in World Farming|Animal Welfare,Animal Welfare,Compassion in World Farming,461822635,
1Day Sooner|Longtermism,Longtermism,1Day Sooner,X,EIN 85-1103820 -- COVID-specific org tho
Material Innovation Initiative |Animal Welfare,Animal Welfare,Material Innovation Initiative ,843847333,Registered as Material Innovation Institute
Council on Strategic Risks|Longtermism,Longtermism,Council on Strategic Risks,823106472,
Direct Relief|Global Health,Global Health,Direct Relief,951831116,
GiveWell|Meta,Meta,GiveWell,X,EIN 20-8625442 -- most of receipts are re-routed to other orgs though rather than 'meta' budget
Massachusetts Institute of Technology Media Lab|Longtermism,Longtermism,Massachusetts Institute of Technology Media Lab,X,University
Center for a New American Security|Longtermism,Longtermism,Center for a New American Security,X,"EIN 20-8084828; Open Phil grant for specific project, mostly they do conventional defense stuff"
"Animal Welfare Awareness, Research, and Education|Animal Welfare",Animal Welfare,"Animal Welfare Awareness, Research, and Education",X,
Vegan Women Summit|Animal Welfare,Animal Welfare,Vegan Women Summit,X,
Smitha Milli|Longtermism,Longtermism,Smitha Milli,X,Individual person's AI research
Centre for Effective Altruism|Meta,Meta,Centre for Effective Altruism,X,England/Wales Charity Number 1149828
Federation of American Scientists|Longtermism,Longtermism,Federation of American Scientists,X,EIN 23-7185827 -- mostly not longtermist though
The Humane League|Animal Welfare,Animal Welfare,The Humane League,43817491,
Center for International Security and Cooperation |Longtermism,Longtermism,Center for International Security and Cooperation ,X,Part of Stanford
"Rice, Hadley, Gates & Manuel LLC|Longtermism",Longtermism,"Rice, Hadley, Gates & Manuel LLC",X,Consulting firm
Asia for Animals|Animal Welfare,Animal Welfare,Asia for Animals,X,
World Animal Net|Animal Welfare,Animal Welfare,World Animal Net,43431930,
AcceleratingHT|Longtermism,Longtermism,AcceleratingHT,X,COVID-specific
Center for Strategic and International Studies|Longtermism,Longtermism,Center for Strategic and International Studies,X,
 University of Pennsylvania |Meta,Meta, University of Pennsylvania ,X,University
Catalyst|Animal Welfare,Animal Welfare,Catalyst,262829648,Catalyst Council Inc.
Royal Society for the Prevention of Cruelty to Animals|Animal Welfare,Animal Welfare,Royal Society for the Prevention of Cruelty to Animals,X,"Largest animal charity in UK -- many branches, but in total several $M?"
Early-Career Funding for Global Catastrophic Biological Risks|Longtermism,Longtermism,Early-Career Funding for Global Catastrophic Biological Risks,X,Just Open Phil funding a handful of individuals
Group Nine Media|Animal Welfare,Animal Welfare,Group Nine Media,X,One-off; this is a commercial media co.
New York University|Animal Welfare,Animal Welfare,New York University,X,University
VegeProject|Animal Welfare,Animal Welfare,VegeProject,X,"Japanese student project, introducing vegan/vegetarian menus"
Dharma Voices for Animals|Animal Welfare,Animal Welfare,Dharma Voices for Animals,X,Buddhist animal advocacy
The Wilson Center|Longtermism,Longtermism,The Wilson Center,X,
Animal Advocacy Careers|Animal Welfare,Animal Welfare,Animal Advocacy Careers,X,Small/new org -- career advice towards animal advocacy
Foundation for Food and Agriculture Research|Animal Welfare,Animal Welfare,Foundation for Food and Agriculture Research,X,"EIN 47-1559027 -- but this is a very large, broad-purpose organization"
World of Good |Animal Welfare,Animal Welfare,World of Good ,X,"Australia, general-research org"
We Animals Media|Animal Welfare,Animal Welfare,We Animals Media,X,"Open license photos of animals, to inspire compassion"
Food Frontier|Animal Welfare,Animal Welfare,Food Frontier,X,Independent think tank on alternative proteins in Australia/New Zealand
Andrew Lohn|Longtermism,Longtermism,Andrew Lohn,X,
Harvard University |Longtermism,Longtermism,Harvard University ,X,University
CAF America|Animal Welfare,Animal Welfare,CAF America,1,
Centre for the Governance of AI|Longtermism,Longtermism,Centre for the Governance of AI,1,
