Date,Organization Name,Amount,Cause Area,org_cause
2021-02-01,Crustacean Compassion,786830.0,Animal Welfare,Crustacean Compassion|Animal Welfare
2021-01-01,Center for Security and Emerging Technology,8000000.0,Longtermism,Center for Security and Emerging Technology|Longtermism
2021-01-01,UC Berkeley,11355246.0,Longtermism,UC Berkeley|Longtermism
2021-01-01,Berryville Institute of Machine Learning,150000.0,Longtermism,Berryville Institute of Machine Learning|Longtermism
2020-12-01,University of Glasgow,109552.0,Animal Welfare,University of Glasgow|Animal Welfare
2020-12-01,Against Malaria Foundation,6651000.0,Global Health,Against Malaria Foundation|Global Health
2020-11-01,GLOBALG.A.P.,90554.0,Animal Welfare,GLOBALG.A.P.|Animal Welfare
2020-11-01,Massachusetts Institute of Technology,275344.0,Longtermism,Massachusetts Institute of Technology|Longtermism
2020-11-01,University of Bern,410000.0,Animal Welfare,University of Bern|Animal Welfare
2020-11-01,Compassion in World Farming,1228407.0,Animal Welfare,Compassion in World Farming|Animal Welfare
2020-11-01,1Day Sooner,600000.0,Longtermism,1Day Sooner|Longtermism
2020-11-01,Material Innovation Initiative ,200000.0,Animal Welfare,Material Innovation Initiative |Animal Welfare
2020-11-01,Council on Strategic Risks,780000.0,Longtermism,Council on Strategic Risks|Longtermism
2020-10-01,Direct Relief,275000.0,Global Health,Direct Relief|Global Health
2020-10-01,GiveWell,2389753.0,Meta,GiveWell|Meta
2020-10-01,Massachusetts Institute of Technology Media Lab,890000.0,Longtermism,Massachusetts Institute of Technology Media Lab|Longtermism
2020-10-01,Center for a New American Security,116744.0,Longtermism,Center for a New American Security|Longtermism
2020-10-01,"Animal Welfare Awareness, Research, and Education",64600.0,Animal Welfare,"Animal Welfare Awareness, Research, and Education|Animal Welfare"
2020-10-01,Center for a New American Security,24350.0,Longtermism,Center for a New American Security|Longtermism
2020-10-01,Vegan Women Summit,20000.0,Animal Welfare,Vegan Women Summit|Animal Welfare
2020-10-01,Smitha Milli,370.0,Longtermism,Smitha Milli|Longtermism
2020-09-01,Centre for Effective Altruism,500000.0,Meta,Centre for Effective Altruism|Meta
2020-09-01,Federation of American Scientists,175000.0,Longtermism,Federation of American Scientists|Longtermism
2020-09-01,The Humane League,3600000.0,Animal Welfare,The Humane League|Animal Welfare
