,0
0,Crustacean Compassion|Animal Welfare
1,Center for Security and Emerging Technology|Longtermism
2,UC Berkeley|Longtermism
3,Berryville Institute of Machine Learning|Longtermism
4,University of Glasgow|Animal Welfare
5,Against Malaria Foundation|Global Health
6,GLOBALG.A.P.|Animal Welfare
7,Massachusetts Institute of Technology|Longtermism
8,University of Bern|Animal Welfare
9,Compassion in World Farming|Animal Welfare
10,1Day Sooner|Longtermism
11,Material Innovation Initiative |Animal Welfare
12,Council on Strategic Risks|Longtermism
13,Direct Relief|Global Health
14,GiveWell|Meta
15,Massachusetts Institute of Technology Media Lab|Longtermism
16,Center for a New American Security|Longtermism
17,"Animal Welfare Awareness, Research, and Education|Animal Welfare"
18,Vegan Women Summit|Animal Welfare
19,Smitha Milli|Longtermism
20,Centre for Effective Altruism|Meta
21,Federation of American Scientists|Longtermism
22,The Humane League|Animal Welfare
23,Center for International Security and Cooperation |Longtermism
24,"Rice, Hadley, Gates & Manuel LLC|Longtermism"
25,Asia for Animals|Animal Welfare
26,World Animal Net|Animal Welfare
27,AcceleratingHT|Longtermism
28,Center for Strategic and International Studies|Longtermism
29, University of Pennsylvania |Meta
30,Catalyst|Animal Welfare
31,Royal Society for the Prevention of Cruelty to Animals|Animal Welfare
32,Early-Career Funding for Global Catastrophic Biological Risks|Longtermism
33,Group Nine Media|Animal Welfare
34,New York University|Animal Welfare
35,VegeProject|Animal Welfare
36,Dharma Voices for Animals|Animal Welfare
37,The Wilson Center|Longtermism
38,Animal Advocacy Careers|Animal Welfare
39,Foundation for Food and Agriculture Research|Animal Welfare
40,World of Good |Animal Welfare
41,We Animals Media|Animal Welfare
42,Food Frontier|Animal Welfare
43,Andrew Lohn|Longtermism
44,Harvard University |Longtermism
45,CAF America|Animal Welfare
46,Centre for the Governance of AI|Longtermism
47,Center for Population-Level Bioethics|Longtermism
48,Encompass|Animal Welfare
49,Charity Entrepreneurship|Animal Welfare
50,Gryphon Scientific|Longtermism
51,Future of Humanity Institute|Longtermism
52,Animal Outlook|Animal Welfare
53,The Pollination Project|Animal Welfare
54,Eurogroup for Animals|Animal Welfare
55,Humane Society International|Animal Welfare
56,Conservative Animal Welfare Foundation|Animal Welfare
57,Open Phil AI Fellowship|Longtermism
58,Sinergia Animal|Animal Welfare
59,Nuclear Threat Initiative|Longtermism
60,World Economic Forum|Longtermism
61,Global Priorities Institute|Meta
62,LessWrong|Meta
63,Rutgers University|Longtermism
64,Center for Global Development|Global Health
65,Sea-Long Global Respiratory Systems |Longtermism
66,Reducetarian Foundation|Animal Welfare
67,Equalia|Animal Welfare
68,Animal Nepal |Animal Welfare
69,International Genetically Engineered Machine Foundation |Longtermism
70,Brown Institute for Media Innovation|Longtermism
71,University of Colorado|Longtermism
72,Compassion in World Farming USA|Animal Welfare
73,Effective Altruism Foundation|Global Health
74,fair-fish international association|Animal Welfare
75,Against COVID-19|Longtermism
76,Johns Hopkins University|Longtermism
77,Georgetown Center for Global Health Science and Security|Longtermism
78,Good Judgment Inc.|Longtermism
79,Center for Global Development|Longtermism
80,UC Berkeley|Global Health
81,Alianima|Animal Welfare
82,Brighter Green|Animal Welfare
83,International Society for Applied Ethology|Animal Welfare
84,Bipartisan Commission on Biodefense|Longtermism
85,Soko Tierschutz|Animal Welfare
86,Johns Hopkins Center for Health Security|Longtermism
87,WestExec|Longtermism
88,University of Oxford |Meta
89,Future of Humanity Institute |Longtermism
90,"80,000 Hours|Meta"
91,Machine Intelligence Research Institute|Longtermism
92,Malaria Consortium|Global Health
93,"Georgetown University Initiative on Innovation, Development, and Evaluation|Global Health"
94,Commonwealth Veterinary Association|Animal Welfare
95,Center for Applied Rationality|Meta
96,Animal Equality |Animal Welfare
97,Center for Effective Altruism |Meta
98,Dao Foods|Animal Welfare
99,Stanford University|Longtermism
100,Sightsavers|Global Health
101,ACTAsia|Animal Welfare
102,Berkeley Existential Risk Initiative|Longtermism
103,Certified Humane|Animal Welfare
104,World Animal Protection|Animal Welfare
105,Essere Animali|Animal Welfare
106,Rethink Priorities|Animal Welfare
107,The RAND Corporation |Longtermism
108,University of Missouri |Animal Welfare
109,Development Media International|Global Health
110,Press Shop|Longtermism
111,Animal Charity Evaluators|Animal Welfare
112,FAI Farms|Animal Welfare
113,Center for Welfare Metrics|Animal Welfare
114,Ought|Longtermism
115,Environmental & Animal Society of Taiwan|Animal Welfare
116,Global Alliance for Improved Nutrition|Global Health
117,Helen Keller International|Global Health
118,Jason Crawford|Meta
119,Living Goods|Global Health
120,theguardian.org|Animal Welfare
121,Food Fortification Initiative|Global Health
122,Charity Science Health|Global Health
123,Iodine Global Network|Global Health
124,The Good Food Institute|Animal Welfare
125,Global Animal Partnership|Animal Welfare
126,Project Healthy Children|Global Health
127,Evidence Action|Global Health
128,GiveDirectly|Global Health
129,The END Fund|Global Health
130, WaitList Zero|Meta
131,Griffith University|Animal Welfare
132,Plant Based Foods Association|Animal Welfare
133,SPCA Selangor|Animal Welfare
134,Future of Life Institute|Longtermism
135,Anima International|Animal Welfare
136,UC Berkeley|Animal Welfare
137,Oxford University|Animal Welfare
138,Animal Kingdom Foundation|Animal Welfare
139,EA Scholarships|Meta
140,Global Food Partners|Animal Welfare
141,International Cooperation Committee of Animal Welfare|Animal Welfare
142,Crate-Free Illinois|Animal Welfare
143,Albert Schweitzer Foundation|Animal Welfare
144,IDinsight|Global Health
145,Effective Altruism Foundation|Meta
146,Animal Rights Center Japan|Animal Welfare
147,Sankalpa|Animal Welfare
148,Mercy for Animals|Animal Welfare
149,Plant-Based Meat Startups|Animal Welfare
150,European Summer Program on Rationality|Meta
151,Humane Society International India|Animal Welfare
152,Sentient Media|Animal Welfare
153,Animals Australia Federation|Animal Welfare
154,Federation of Indian Animal Protection Organisations|Animal Welfare
155,Global Catastrophic Risks Scholarships|Longtermism
156,Asia Research & Engagement|Animal Welfare
157,Altruistic Technology Labs|Longtermism
158,The Greenfield Project|Animal Welfare
159,Anima|Animal Welfare
160,Tampere University|Longtermism
161,Evidence Action |Global Health
162,Schistosomiasis Control Initiative|Global Health
163,IDInsight|Global Health
164,Claremont Graduate University|Animal Welfare
165,IDinsight |Global Health
166,Humane Slaughter Association|Animal Welfare
167,Jeanne Marchig International Centre for Animal Welfare Education|Animal Welfare
168,WildAid|Animal Welfare
169,We Animals|Animal Welfare
170,The Center for Election Science|Meta
171,Princeton University|Animal Welfare
172,Georgetown University|Longtermism
173,Results for Development|Global Health
174,Animal Equality|Animal Welfare
175,Royal Veterinary College|Animal Welfare
176,Cynthia Schuck & Wladimir Alonso|Animal Welfare
177,"Farm Forward, Inc|Animal Welfare"
178,Compassion Over Killing|Animal Welfare
179,Center for International Security and Cooperation|Longtermism
180,Biosecure Ltd|Longtermism
181,Malaria Consortium |Global Health
182,University of Sydney|Longtermism
183,Evidence Action Beta|Global Health
184,Animal Welfare Standards Project|Animal Welfare
185,University of British Columbia|Animal Welfare
186,University of Edinburgh  |Animal Welfare
187,Oxford University |Longtermism
188,University of Michigan |Meta
189,Otwarte Klatki |Animal Welfare
190,Prevent Cruelty California|Animal Welfare
191,Oxford Uehiro Centre for Practical Ethics |Animal Welfare
192,Better Eating International|Animal Welfare
193,Eurogroup For Animals|Animal Welfare
194,Fórum Nacional de Proteção e Defesa Animal|Animal Welfare
195,Griffith University |Animal Welfare
196,GoalsRL|Longtermism
197,Charity Science |Animal Welfare
198,The Wilson Center |Longtermism
199,One for the World |Global Health
