Grant,Organization Name,Focus Area,Amount,Date,,,,,,,,,,,,,,
Crustacean Compassion — General Support,Crustacean Compassion,Farm Animal Welfare,786830,2/1/2021,,,,,,,,,,,,,,
Center for Security and Emerging Technology — General Support,Center for Security and Emerging Technology,Potential Risks from Advanced Artificial Intelligence,8000000,1/1/2021,,,,,,,,,,,,,,
UC Berkeley — Center for Human-Compatible Artificial Intelligence (2021),UC Berkeley,Potential Risks from Advanced Artificial Intelligence,11355246,1/1/2021,,,,,,,,,,,,,,
Berryville Institute of Machine Learning — Machine Learning Security Research,Berryville Institute of Machine Learning,Potential Risks from Advanced Artificial Intelligence,150000,1/1/2021,,,,,,,,,,,,,,
University of Glasgow — Animal Welfare Research,University of Glasgow,Farm Animal Welfare,109552,12/1/2020,,,,,,,,,,,,,,
Against Malaria Foundation — General Support (2020),Against Malaria Foundation,Global Health & Development,6651000,12/1/2020,,,,,,,,,,,,,,
GLOBALG.A.P. — Fish Welfare Standards,GLOBALG.A.P.,Farm Animal Welfare,90554,11/1/2020,,,,,,,,,,,,,,
University of New South Wales — In Vitro Fertilization Research (Robert Gilchrist),University of New South Wales ,Scientific Research,2500000,11/1/2020,,,,,,,,,,,,,,
Massachusetts Institute of Technology — AI Trends and Impacts Research,Massachusetts Institute of Technology,Potential Risks from Advanced Artificial Intelligence,275344,11/1/2020,,,,,,,,,,,,,,
Washington University in St. Louis — Research on Cryptosporidium Hominis (David Sibley),Washington University in St. Louis,Scientific Research,1004589,11/1/2020,,,,,,,,,,,,,,
International Refugee Assistance Project — General Support (2020),International Refugee Assistance Project,Immigration Policy,1000000,11/1/2020,,,,,,,,,,,,,,
A New Way of Life — Civic Engagement Work,A New Way of Life,Criminal Justice Reform,200000,11/1/2020,,,,,,,,,,,,,,
Dezernat Zukunft — Monetary and Fiscal Policy in Europe (2020),Dezernat Zukunft,Macroeconomic Stabilization Policy,202079,11/1/2020,,,,,,,,,,,,,,
Telethon Kids Institute (University of Western Australia) — Strep A Vaccine (Jonathan Carapetis),Telethon Kids Institute,Scientific Research,5300000,11/1/2020,,,,,,,,,,,,,,
International Centre of Insect Physiology and Ecology — Malaria Prevention Research (Jeremy Herren),International Centre of Insect Physiology and Ecology,Scientific Research,2199645,11/1/2020,,,,,,,,,,,,,,
University of Bern — Layer Hen Breeding Research,University of Bern,Farm Animal Welfare,410000,11/1/2020,,,,,,,,,,,,,,
Compassion in World Farming — Farm Animal Welfare in Asia,Compassion in World Farming,Farm Animal Welfare,1228407,11/1/2020,,,,,,,,,,,,,,
1Day Sooner — General Support (November 2020),1Day Sooner,Biosecurity and Pandemic Preparedness,600000,11/1/2020,,,,,,,,,,,,,,
Material Innovation Initiative — Plant-Based Fashion Alternatives,Material Innovation Initiative ,Farm Animal Welfare,200000,11/1/2020,,,,,,,,,,,,,,
221B Foundation — COVID-19 Testing in Nepal (Jay Mahat),221B Foundation,Scientific Research,100000,11/1/2020,,,,,,,,,,,,,,
Binx — COVID-19 Testing Platform,Binx,Scientific Research,2000000,11/1/2020,,,,,,,,,,,,,,
Reclaim Philadelphia — Judge Accountability Work (2020),Reclaim Philadelphia,Criminal Justice Reform,165000,11/1/2020,,,,,,,,,,,,,,
Yale University — Cardiovascular Disease Therapy Research,Yale University,Scientific Research,450000,11/1/2020,,,,,,,,,,,,,,
Council on Strategic Risks — Biological Weapons Prevention (November 2020),Council on Strategic Risks,Biosecurity and Pandemic Preparedness,780000,11/1/2020,,,,,,,,,,,,,,
VasoRX — Atherosclerosis and Pulmonary Arterial Hypertension Therapy,VasoRX,Scientific Research,5550000,11/1/2020,,,,,,,,,,,,,,
Direct Relief — COVID-19 Action Fund for Africa,Direct Relief,Global Health & Development,275000,10/1/2020,,,,,,,,,,,,,,
Frontline Dads — General Support (October 2020),Frontline Dads,Criminal Justice Reform,60000,10/1/2020,,,,,,,,,,,,,,
GiveWell — General Support (October 2020),GiveWell,Global Health & Development,2389753,10/1/2020,,,,,,,,,,,,,,
University of Glasgow — Malaria Prevention Research (Steven Sinkins),University of Glasgow,Scientific Research,3175000,10/1/2020,,,,,,,,,,,,,,
YIMBY Law — General Support (October 2020),YIMBY Law,Land Use Reform,500000,10/1/2020,,,,,,,,,,,,,,
Movement Alliance Project — Prosecutor Accountability (October 2020),Movement Alliance Project,Criminal Justice Reform,245000,10/1/2020,,,,,,,,,,,,,,
ANTI-VeC — Malaria Prevention Research,ANTI-VeC,Scientific Research,700000,10/1/2020,,,,,,,,,,,,,,
UC Berkeley — In-Line Water Chlorination Devices (Amy Pickering),UC Berkeley,Scientific Research,99000,10/1/2020,,,,,,,,,,,,,,
Massachusetts Institute of Technology Media Lab — DNA Synthesis Screening Methods,Massachusetts Institute of Technology Media Lab,Biosecurity and Pandemic Preparedness,890000,10/1/2020,,,,,,,,,,,,,,
Center for a New American Security — AI and Security Projects,Center for a New American Security,Potential Risks from Advanced Artificial Intelligence,116744,10/1/2020,,,,,,,,,,,,,,
Success Stories — Workshop Support,Success Stories,Criminal Justice Reform,50000,10/1/2020,,,,,,,,,,,,,,
University Health Network — Preterm Birth Research (2020),University Health Network,Scientific Research,1228000,10/1/2020,,,,,,,,,,,,,,
Re-Imagine L.A. County — Measure J,Yes on J: Re-Imagine L.A. County,Criminal Justice Reform,140000,10/1/2020,,,,,,,,,,,,,,
"Animal Welfare Awareness, Research, and Education — Farm Animal Welfare Work","Animal Welfare Awareness, Research, and Education",Farm Animal Welfare,64600,10/1/2020,,,,,,,,,,,,,,
Center for a New American Security — AI Governance Projects,Center for a New American Security,Potential Risks from Advanced Artificial Intelligence,24350,10/1/2020,,,,,,,,,,,,,,
Sisters Unchained — General Support,Sisters Unchained,Criminal Justice Reform,25000,10/1/2020,,,,,,,,,,,,,,
